,1101,1102,1103,1104
2016/9/30,145457904 ,139318938 ,15891795 ,16205886 
2016/6/30,146772743 ,140637736 ,13342739 ,16172720 
2016/3/31,154750268 ,146110347 ,13984333 ,16363447 
2015/12/31,155484252 ,154854192 ,14046346 ,16000386 
2015/9/30,157639379 ,160453437 ,14090025 ,15981328 
2015/6/30,150965857 ,158949052 ,17235969 ,15760747 
2015/3/31,162219457 ,167234786 ,18648492 ,16105747 
2014/12/31,162017681 ,161727226 ,19282058 ,15797970 
2014/9/30,153411035 ,152157576 ,19135418 ,15172677 
2014/6/30,147496365 ,148259570 ,18791647 ,14753150 
2014/3/31,158255100 ,153439183 ,21493908 ,14910655 
2013/12/31,153618577 ,152842202 ,21498297 ,14539149 
2013/9/30,145196356 ,145455059 ,17460727 ,13746849 
2013/6/28,139207168 ,143348491 ,15769322 ,13566005 
2013/3/29,145365698 ,146042240 ,16395990 ,13731718 
2012/12/28,131743600 ,100225003 ,16458506 ,13383232 
2012/9/28,127124066 ,97756450 ,15749982 ,13305216 
2012/6/29,123579569 ,96257161 ,16626371 ,13112141 
2012/3/30,131463919 ,103924561 ,18661364 ,13272545 
2011/12/30,129320349 ,102355990 ,18067230 ,13060913 
